Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,group1
REACTOME_PATHWAY,Post-translational protein phosphorylation,2,50,-1.536796361,"C4A, SERPINA1",4,108,11044,51.12962963,0.683327262,0.654716955,0.654716955,down
GOTERM_BP_DIRECT,cholesterol biosynthetic process,2,15.38461538,1.634560903,"CYB5R3, APOA4",13,38,19453,78.75708502,0.897373206,1,1,up
GOTERM_BP_DIRECT,gluconeogenesis,2,15.38461538,1.516844475,"SLC25A1, PGM1",13,50,19453,59.85538462,0.950039691,1,1,up
REACTOME_PATHWAY,Plasma lipoprotein assembly,2,15.38461538,1.726517662,"APOA4, A2M",12,19,11044,96.87719298,0.875619601,0.688261962,0.688261962,up
REACTOME_PATHWAY,Metabolism of vitamins and cofactors,3,23.07692308,1.817807823,"CYB5R3, AOX1, APOA4",12,194,11044,14.23195876,0.814778109,0.688261962,0.688261962,up
REACTOME_PATHWAY,Metabolism,8,61.53846154,2.810435627,"SLC25A1, CYB5R3, RPL22, ACOT1, AOX1, APOA4, AK4, PGM1",12,2127,11044,3.461526407,0.156614246,0.170199021,0.170199021,up
