"","name","COR"
"1","B001",0.717408057750463
"2","B008",0.739249829284948
"3","B013",0.677114427860697
"4","B014",0.683689396156473
"5","B016",0.760886742756804
"6","B024",0.767422690469223
"7","B025",0.751507170032192
"8","B026",0.789332748024583
"9","B030",0.716320358989367
"10","B031",0.736225734074724
"11","B034",0.736089162032972
"12","B037",0.753687445127305
"13","B038",0.719817578772803
"14","B042",0.712910935518486
"15","B044",0.776338893766462
"16","B047",0.698770851624232
"17","B049",0.775265827724125
"18","B051",0.693176275485319
"19","B052",0.781265242415374
"20","B058",0.709555165349722
"21","B062",0.768890839918057
"22","B063",0.741839820505317
"23","B064",0.789874158618671
"24","B070",0.730953077748512
"25","B071",0.729382499268364
"26","B075",0.667949468344552
"27","B077",0.756896888108477
"28","B090",0.660359964881475
"29","B101",0.783016291093552
"30","B103",0.752438786459858
"31","B112",0.766681299385426
"32","B130",0.736006243293337
"33","B131",0.769715149741489
"34","B133",0.702487562189055
"35","B135",0.67499756121354
"36","B146",0.73853282606575
"37","B154",0.739191298409911
"38","B166",0.760008779631256
"39","B167",0.784284460052678
"40","B168",0.741317920202907
"41","B169",0.724202516827627
"42","B172",0.708330894546874
"43","B177",0.714491269144474
"44","B181",0.718339674178129
"45","B182",0.734933177251
"46","B187",0.667276363281631
"47","B190",0.783479660520925
"48","B195",0.808872305140962
"49","B196",0.744820017559263
"50","B200",0.806599356160375
"51","B201",0.719724904887328
"52","B203",0.727363184079602
"53","B205",0.76729099600039
"54","B233",0.750814554677593
"55","B235",0.688054823919618
"56","B241",0.767729977563165
"57","B245",0.720534581992001
"58","B249",0.772866061847625
"59","B251",0.749512242708029
"60","B253",0.750829187396352
"61","B255",0.732899229343479
"62","B257",0.755740903326505
"63","B258",0.78766949565896
"64","B264",0.756038435274607
"65","B266",0.756804214223003
"66","B275",0.729743439664423
"67","B279",0.724124475660911
"68","B280",0.738098722075895
"69","B282",0.792698273339187
"70","B284",0.728621597892889
"71","B285",0.744073748902546
"72","B286",0.734352746073554
"73","B287",0.705438493805483
"74","B288",0.746834455175105
"75","B290",0.740366793483563
"76","B294",0.763393815237538
"77","B297",0.794103014340064
"78","B303",0.716647156374988
"79","B306",0.742459272266121
"80","B308",0.776065749682958
"81","B309",0.781713979123988
"82","B313",0.735537996293045
"83","B315",0.755697005170227
"84","B320",0.733016291093552
"85","B323",0.746468637206126
"86","B325",0.743917666569115
"87","B327",0.695054141059409
"88","B329",0.800326797385621
"89","B332",0.767505609208858
"90","B339",0.703955711637889
"91","B351",0.755755536045264
"92","B357",0.779914154716613
"93","B360",0.688986440347283
"94","B366",0.755755536045264
"95","B380",0.765305823822066
"96","B381",0.794883426007219
"97","B382",0.743425031704224
"98","B384",0.792078821578383
"99","B389",0.736601307189543
"100","B399",0.781474978050922
"101","B406",0.74109842942152
"102","B412",0.7205589698566
"103","B413",0.792064188859624
"104","B417",0.71404741000878
"105","B420",0.738708418690859
"106","B422",0.775504828797191
"107","B424",0.73922056384743
"108","B425",0.730738464540045
"109","B429",0.693454297141742
"110","B430",0.722392937274412
"111","B433",0.796395473612331
"112","B434",0.736235489220564
"113","B435",0.730840893571359
"114","B440",0.772129548336748
"115","B441",0.738820602868013
"116","B447",0.787830455565311
"117","B451",0.688552336357429
"118","B464",0.784703931323773
"119","B467",0.797024680518974
"120","B468",0.757555360452639
"121","B475",0.720617500731636
"122","B477",0.752082723636718
"123","B482",0.731367671446688
"124","B483",0.740303385035606
"125","B486",0.734845380938445
