"","count","ratio","group"
"148",1847,8.7122641509434,"RA"
"149",1847,8.7122641509434,"RA"
"150",1851,8.7311320754717,"RA"
"151",1854,8.74528301886792,"RA"
"152",1854,8.74528301886792,"RA"
"153",1856,8.75471698113208,"RA"
"154",1858,8.76415094339623,"RA"
"155",1861,8.77830188679245,"RA"
"156",1863,8.7877358490566,"RA"
"157",1866,8.80188679245283,"RA"
"158",1866,8.80188679245283,"RA"
"159",1866,8.80188679245283,"RA"
"160",1866,8.80188679245283,"RA"
"161",1869,8.81603773584906,"RA"
"162",1871,8.82547169811321,"RA"
"163",1872,8.83018867924528,"RA"
"164",1875,8.84433962264151,"RA"
"165",1880,8.86792452830189,"RA"
"166",1881,8.87264150943396,"RA"
"167",1881,8.87264150943396,"RA"
"168",1883,8.88207547169811,"RA"
"169",1888,8.90566037735849,"RA"
"170",1890,8.91509433962264,"RA"
"171",1890,8.91509433962264,"RA"
"172",1890,8.91509433962264,"RA"
"173",1890,8.91509433962264,"RA"
"174",1891,8.91981132075472,"RA"
"175",1891,8.91981132075472,"RA"
"176",1891,8.91981132075472,"RA"
"177",1893,8.92924528301887,"RA"
"178",1893,8.92924528301887,"RA"
"179",1896,8.94339622641509,"RA"
"180",1897,8.94811320754717,"RA"
"181",1901,8.96698113207547,"RA"
"182",1901,8.96698113207547,"RA"
"183",1905,8.98584905660377,"RA"
"184",1907,8.99528301886792,"RA"
"185",1911,9.01415094339623,"RA"
"186",1911,9.01415094339623,"RA"
"187",1911,9.01415094339623,"RA"
"188",1913,9.02358490566038,"RA"
"189",1913,9.02358490566038,"RA"
"190",1917,9.04245283018868,"RA"
"191",1918,9.04716981132075,"RA"
"192",1920,9.05660377358491,"RA"
"193",1922,9.06603773584906,"RA"
"194",1922,9.06603773584906,"RA"
"195",1922,9.06603773584906,"RA"
"196",1923,9.07075471698113,"RA"
"197",1924,9.07547169811321,"RA"
"198",1925,9.08018867924528,"RA"
"199",1929,9.09905660377358,"RA"
"200",1932,9.11320754716981,"RA"
"201",1936,9.13207547169811,"RA"
"202",1936,9.13207547169811,"RA"
"203",1939,9.14622641509434,"RA"
"204",1940,9.15094339622642,"RA"
"205",1945,9.17452830188679,"RA"
"206",1947,9.18396226415094,"RA"
"207",1951,9.20283018867925,"RA"
"208",1958,9.23584905660377,"RA"
"209",1959,9.24056603773585,"RA"
"210",1960,9.24528301886792,"RA"
"211",1966,9.27358490566038,"RA"
"212",1966,9.27358490566038,"RA"
