,P_DAS28,LM_DAS28,P_VAS,LM_VAS,P_TJC,LM_TJC,P_SJC,LM_SJC,P_CRP,LM_CRP
IGKV3D.15,0.833744624,0.010189514,0.260955871,-0.002843689,0.308788696,-0.00865389,0.004000408,0.038060977,0.003119521,0.007662482
RPN1,0.116720786,0.073539298,0.917617374,0.000264539,0.062046913,0.015801312,0.196263762,0.015873315,0.003159873,0.007289899
PCBD1,0.228276332,-0.052382345,0.542550105,-0.00140668,0.761823244,0.002377773,0.720478735,-0.004568957,0.003164583,-0.006972667
SERPINA4,0.001257964,-0.134926837,0.083023395,-0.003951935,0.020252588,-0.01734573,0.250465804,-0.014636633,0.003473148,-0.006947419
TGM2,0.095373304,-0.068586701,0.169223435,-0.003039338,0.746067795,-0.002417988,0.930932786,-0.001017616,0.004130047,-0.006731978
A2M,5.63E-05,-0.160577156,0.000708778,-0.007241085,0.011912227,-0.018092356,0.004783913,-0.032347339,0.004163221,-0.006609019
IGHV3.72,0.823401117,-0.015701651,0.922219278,0.000371476,0.190076079,0.016083905,0.487380777,-0.017028751,0.004285985,-0.011758871
PHGDH,0.342614164,-0.040745888,0.239886875,-0.002723149,0.408180176,0.006258785,0.053326964,-0.02299201,0.00465942,-0.006886786
HSPA8,0.644912411,0.018767856,0.677935521,-0.000904317,0.754734924,-0.002281133,0.808215774,-0.002827694,0.004826235,0.006571484
C9,0.002398468,0.124781935,0.308305575,0.002275106,0.121385257,0.011519325,0.278787591,0.012656971,0.005114133,0.00656544
SLC25A4,0.595043147,-0.027677381,0.024087481,-0.00633494,0.209942782,-0.011750979,0.545664279,0.008340439,0.005497524,0.008552218
ETFDH,0.910563899,-0.004597983,0.511045193,0.001437864,0.995395239,-4.26E-05,0.120394478,-0.018074834,0.006399823,0.006747291
APCS,0.297636306,0.041467222,0.428389779,-0.001686442,0.716647747,-0.002592335,0.456711375,0.008478678,0.006811483,0.006174173
RPL27A,0.098449791,-0.087711929,0.640284886,-0.001356694,0.273486005,-0.010599874,0.32895647,-0.014103458,0.007748058,-0.006958541
RPS9,0.054443568,-0.07887488,0.156567846,-0.003102346,0.734760186,-0.002495707,0.410586335,-0.009628352,0.008039106,-0.006213901
CP,0.210690175,0.05119625,0.296988772,-0.002276613,0.743831153,-0.002391553,0.947557233,0.000767749,0.009240307,0.006082391
FAH,0.086359859,-0.075562959,0.012682328,-0.005858036,0.211493095,-0.009782734,0.555267401,-0.008557059,0.00971196,0.007399007
IGHV6.1,0.046709445,-0.084537171,0.086979009,-0.003988833,0.232172211,-0.009133433,0.017829087,-0.028098756,0.010077753,-0.006157262
ST13P4,0.589208634,-0.052985787,0.660893353,0.002378236,0.303789147,0.021151495,0.209832873,-0.034769471,0.010181752,-0.012607197
AKR1B1,0.439274518,-0.031899028,0.48168513,0.001546303,0.699600604,-0.002842453,0.890964925,-0.001608394,0.010712264,-0.005995888
RPL18,0.009447287,-0.130778791,0.025732671,-0.005939369,0.356152625,-0.0081367,0.73785105,-0.005064882,0.011697962,-0.006944203
ADH6,0.475689384,-0.029288336,0.650229229,-0.000997897,0.539395088,-0.004511311,0.118708757,-0.018240854,0.011726192,0.006063777
PON1,0.071934969,-0.073497333,0.517686318,0.001413668,0.289432211,-0.007821153,0.052242413,-0.022614243,0.012250003,-0.005859172
CAPNS1,0.149143165,-0.060292566,0.245065234,-0.002599833,0.468573855,-0.005445376,0.530533955,-0.007388306,0.012954507,-0.005937173
RBP4,0.000292892,-0.146565291,0.069347275,-0.00396405,0.011967382,-0.018343342,0.201915987,-0.015162744,0.013210014,-0.006397755
RPL35A,0.021682591,-0.096333411,0.363760883,-0.002032522,0.233555233,-0.008929048,0.026527556,-0.026154999,0.015097953,-0.005921375
BGN,0.257028939,-0.048063195,0.582283131,-0.00125982,0.836302026,-0.001547982,0.982038648,0.000266574,0.015878661,-0.005888463
FLNB,0.369512608,-0.036749042,0.218796276,-0.00269747,0.174666092,0.009957008,0.235385272,-0.013891473,0.016587185,-0.00562736
EEF1G,0.035533055,-0.09527011,0.795731652,-0.000632364,0.30654206,-0.008325163,0.03095603,-0.033113197,0.01687146,-0.006130486
MDH1,0.010923819,-0.103064241,0.625056557,-0.001062499,0.229063945,-0.008761209,0.0667591,-0.021277823,0.016928968,-0.005568135
TF,0.002997563,-0.119683896,0.015243804,-0.005242018,0.214628058,-0.009014583,0.036721274,-0.024163347,0.017149719,-0.005542307
ACOT1,0.06248424,-0.083719973,0.726915037,0.000839242,0.287961617,-0.008338913,0.159805862,-0.016932965,0.017751864,-0.005827502
MYL12A,0.39855458,0.036093609,0.099108482,0.003780316,0.198631471,0.010064008,0.472526496,0.008562849,0.017873004,-0.006111331
HIST1H2AJ,0.077903894,-0.124729735,0.402136564,-0.003391031,0.773502759,-0.003345339,0.110979349,-0.029253525,0.018668476,-0.008524705
HIST1H1B,0.337564801,-0.041247376,0.425890144,-0.001795988,0.169756448,-0.010445359,0.357480939,-0.011754732,0.018795107,0.0055736
CBR3,0.92415112,0.004887068,0.305066219,-0.002808608,0.950298927,0.000555641,0.854513967,0.002390668,0.018817603,0.007554456
UGP2,0.044190347,-0.082256409,0.023923346,-0.004932603,0.6249402,-0.003591693,0.414858666,-0.009554593,0.019846368,-0.005474088
TTR,0.015333289,-0.099929601,0.399318805,-0.001864047,0.041966565,-0.014990304,0.436711246,-0.009154387,0.020994265,-0.00543745
ATP6V1A,0.423412813,0.039940333,0.631947356,-0.001316115,0.851111055,-0.001656561,0.388904344,0.012929932,0.021202967,0.006125442
SUCLA2,0.516014434,-0.026818304,0.826545711,-0.000487589,0.749978585,0.002364821,0.086354989,-0.020130415,0.021387978,-0.005413191
RPL12,0.373292256,0.05189326,0.082731742,0.005344864,0.895403388,0.001492613,0.420201316,0.013496795,0.021442405,0.006953106
HNMT,0.424739022,-0.051729999,0.249618026,0.004255846,0.348981992,-0.012045937,0.781841619,-0.005198205,0.022023118,-0.009459463
TPPP3,0.283081462,-0.084918054,0.905968205,-0.000480864,0.758646724,0.004845619,0.995612315,-9.59E-05,0.022186864,-0.008393276
PURA,0.371920632,-0.067916598,0.927389385,0.000348554,0.987047251,-0.000213847,0.919349543,-0.002779924,0.022972265,-0.011266258
RPL29,0.140910047,-0.11373345,0.330022974,-0.004121686,0.428433294,-0.011517357,0.324750965,-0.030560348,0.025117817,-0.008139795
KDELR2,0.000172418,-0.173548293,0.009011661,-0.006620736,0.068897965,-0.014879352,0.017128457,-0.030398072,0.025296174,-0.005500816
IGLV2.8,0.599593652,0.024135603,0.194412982,0.003193427,0.271864061,0.009060987,0.406188429,-0.01174369,0.025420641,0.005642737
RPL34,0.078052611,-0.079181372,0.779484128,-0.00067474,0.688681146,-0.003195529,0.042808977,-0.026693268,0.026466377,-0.005996863
SERPINA6,0.587023477,0.026282096,0.062641064,0.004778524,0.716205932,0.003347627,0.558618896,0.007944337,0.026643443,-0.006447767
CFB,0.417672964,0.033209851,0.89622843,-0.000285882,0.558549838,-0.004298501,0.623762878,0.005750653,0.026975791,0.00520102
ATP1B1,0.706576839,0.015429985,0.738579661,-0.000731413,0.0766285,0.012985258,0.651411771,0.005296441,0.02756469,-0.005180931
AIFM1,0.179103619,-0.054909474,0.428094059,-0.001733084,0.855123221,-0.001339424,0.383502667,-0.010194249,0.028374272,-0.005145279
COX4I1,0.015293964,0.098871172,0.018668924,0.00512804,0.018524196,0.01721547,0.084650996,0.020144235,0.028406365,-0.00514497
VCL,0.70370098,-0.015588742,0.809231605,-0.000529112,0.155772273,0.010417679,0.747402161,-0.003775838,0.029783294,-0.005109774
HBB,0.001142483,-0.131404963,0.015052017,-0.005267342,0.036005303,-0.015248459,0.01378637,-0.028540875,0.030007578,-0.005063995
ACSF2,0.60965304,-0.021199971,0.877315011,0.000344529,0.672637723,0.003145073,0.227983544,-0.01415866,0.03005018,-0.00510774
DES,0.316387549,-0.040999197,0.462416855,-0.001608405,0.577503907,-0.004088543,0.566332324,0.006715052,0.030372604,-0.005086267
SLC25A1,0.072152767,-0.080039792,0.070594922,-0.004342762,0.712380455,0.00294601,0.033944593,-0.030358397,0.031516829,-0.005233352
VDAC3,0.177032189,-0.056098117,0.443979753,-0.001705363,0.367001139,-0.006833482,0.43146826,-0.00926942,0.031575024,-0.005110503
UBA52,0.472952297,-0.029665882,0.016887705,-0.005248092,0.695982647,-0.002877457,0.94123564,0.000864594,0.032056503,0.005040812
XRCC5,0.03180887,-0.091267009,0.593050273,-0.001225157,0.074719069,-0.013574588,0.667681844,-0.005110098,0.033316073,-0.005025686
NDUFA13,0.224011146,0.073515571,0.891378517,-0.000433447,0.079465774,0.019615876,0.056072667,0.04051766,0.035020165,0.006744588
RPS3,0.179717689,-0.054894498,0.868681687,-0.000362134,0.659123517,-0.003239358,0.296112497,-0.01223323,0.035390332,-0.00494508
S100A12,0.808841426,0.014196333,0.257368515,0.003624275,0.520307913,0.006695383,0.982751539,0.000396771,0.035486165,-0.007907476
HP1BP3,0.02987345,-0.101264402,0.101695458,-0.00414839,0.129910415,-0.013308824,0.563280928,-0.00777755,0.035542557,-0.005132734
C4BPA,0.200921472,0.051656207,0.635969386,-0.001023195,0.852358734,0.0013491,0.319654088,0.011501696,0.036212626,0.004859421
GHITM,0.99083097,-0.001032916,0.38465072,-0.003963152,0.747412991,-0.006657213,0.884465996,0.004216035,0.036896053,0.006980937
ADH5,0.445680619,-0.03123722,0.55577656,0.001290481,0.372402592,-0.006552953,0.666066034,0.005056852,0.037341146,-0.00489604
CA1,0.323937227,-0.040414278,0.839868398,0.000442811,0.470816903,-0.005297091,0.139089117,-0.017314639,0.037696711,-0.004886986
HNRNPH3,0.057684155,-0.088860966,0.04678635,-0.005054171,0.672914112,-0.003583445,0.449799386,-0.009510196,0.038762372,-0.005617968
ACADVL,0.176036892,-0.055332877,0.051404883,-0.004254167,0.746488395,-0.002372859,0.491542045,-0.008053032,0.039754904,-0.004831408
PCK2,0.366112723,-0.036931026,0.574416361,-0.001227359,0.586204586,0.003989264,0.327269665,-0.011448644,0.040398514,-0.004808943
ALDH7A1,0.340388344,-0.040861856,0.638027577,-0.001089913,0.798089292,-0.002010989,0.482953292,-0.008478003,0.041512632,-0.00516102
MYH9,0.375024905,-0.036346975,0.859273085,-0.000388618,0.545912215,-0.004437312,0.716099624,-0.004263861,0.041690219,0.004791245
C7,0.283361744,-0.044039582,0.149178025,-0.003150384,0.764150346,-0.002207159,0.903258331,-0.001424684,0.041720364,-0.004781564
ALDH4A1,0.30725925,-0.041527459,0.698448144,-0.000842495,0.519080452,-0.004704241,0.345429304,-0.010967406,0.042041341,-0.004746372
UBA1,0.021338997,-0.111429592,0.01165076,-0.00652422,0.323351297,-0.008751056,0.478275061,-0.009673304,0.042276552,-0.005531442
LAP3,0.816243617,0.00952009,0.637372948,0.001029302,0.579402399,0.004108675,0.793717918,-0.003054318,0.042344688,-0.004760077
ITIH4,0.4230202,-0.032753823,0.552056239,-0.001300156,0.078142812,-0.012890174,0.782294268,0.003232366,0.042431903,0.004762958
EZR,0.309795648,-0.043602644,0.386010552,-0.001991913,0.847011671,0.001485272,0.125021247,-0.018382105,0.042788039,-0.004864062
RHOA,0.452653768,-0.042257433,0.767701934,-0.00089092,0.657398489,-0.004369789,0.276867856,-0.023338685,0.042809009,-0.008037012
CRYZ,0.26209248,-0.045927113,0.563846094,0.001262081,0.89494985,-0.00097736,0.753751918,-0.003669624,0.042821701,-0.004751876
PF4,0.842814193,-0.020888591,0.598570294,-0.002470845,0.669232019,-0.007123629,0.250977473,-0.025612925,0.043153248,0.014299936
DAK,0.137534778,-0.060722558,0.565981125,-0.001256469,0.852234987,-0.001367457,0.254445031,-0.013336373,0.044674461,-0.004718471
FLNC,0.41295634,-0.033662628,0.405432558,-0.001837784,0.920740796,0.000735918,0.605233404,-0.006067121,0.045467646,-0.004709651
TXNDC17,0.826032291,0.012035988,0.255201203,0.003491228,0.447636451,0.007932322,0.965545973,0.000674398,0.045916383,-0.006884789
NPC2,0.014497136,-0.107513609,0.464887552,-0.001713201,0.047230278,-0.015719453,0.209458014,-0.015821084,0.045926419,-0.005137886
C5,0.811249539,-0.00966519,0.262204163,-0.002424324,0.319973395,-0.00721163,0.398843026,0.009762234,0.045989132,0.004635382
ANXA2,0.927216964,0.003743979,0.359052731,-0.002008882,0.383779301,0.006396763,0.834948809,0.002442564,0.046154411,-0.004690652
ITGB6,0.079284875,0.130607028,0.295718276,0.004242236,0.280769474,0.016215763,0.220301054,0.027267616,0.046293906,0.008074337
VDAC2,0.236719633,-0.048461216,0.30016775,-0.002272935,0.29956107,-0.007620697,0.386785238,-0.010145409,0.047623058,-0.004662064
X2.Mar,0.732641433,-0.015799157,0.906508545,0.000296845,0.864249326,-0.001371552,0.361827115,-0.012062924,0.047795175,-0.004868434
C3,0.791936125,-0.010763937,0.255284999,-0.00247996,0.333532789,-0.007070167,0.291966753,0.012290567,0.048525145,0.004620463
SELENBP1,0.888782861,0.005745786,0.107066103,0.003551265,0.340824609,0.007069338,0.503656043,0.007845072,0.048566516,-0.00465011
ACOX2,0.403213463,-0.057031108,0.796888959,0.000954809,0.648311296,-0.006630841,0.175481532,-0.029399035,0.04885061,-0.006213441
NDST1,0.002264761,-0.141993154,0.046418332,-0.004843116,0.038870649,-0.016948456,0.034805035,-0.026526062,0.048863689,-0.004937992
HNRNPA3,0.08697266,-0.096477289,0.254856943,-0.003643575,0.232698098,-0.012085624,0.357971057,-0.014214781,0.049442499,-0.007500748
C4B,0.278784758,0.048805317,0.613598942,-0.001221757,0.789573976,-0.002271807,0.097954897,0.021251399,0.050719269,0.004838705
EIF4A1,0.623587868,-0.02233348,0.256742323,-0.0027646,0.518012278,0.00535657,0.947267829,-0.000850441,0.052517792,-0.005148145
CBR1,0.324298816,-0.041097821,0.314394878,-0.002240192,0.931250715,-0.000651926,0.507568835,0.007793693,0.054545968,-0.004546366
CCT2,0.737401272,-0.019813364,0.852641505,0.000573997,0.924011484,0.001018073,0.698584778,0.005707836,0.055491279,-0.005739069
SULT2A1,0.166856498,-0.057654577,0.136680138,-0.003366156,0.780614797,-0.002076142,0.05952913,-0.022805881,0.055735605,-0.004739975
FBP2,0.020539043,-0.098984937,0.098724581,-0.003785256,0.15811944,-0.010676926,0.125845407,-0.018221542,0.056244934,-0.004697949
PSMB7,0.503641942,0.034856258,0.395792504,0.002320446,0.269483663,0.010186343,0.14659192,0.019844917,0.057123708,-0.005535856
CTSS,0.052124715,-0.112276283,0.477628451,-0.002242161,0.251618048,-0.011835422,0.222377044,-0.019223957,0.057561603,-0.005863064
PADI2,0.146824734,-0.059286209,0.979735096,-5.56E-05,0.676543435,-0.00306025,0.146452799,-0.016972937,0.057581866,-0.004460768
TPM4,0.772385573,-0.01184088,0.283208215,0.002347227,0.762081338,-0.002221889,0.977576906,0.000329111,0.058438892,-0.004447546
CPS1,0.529752319,-0.025731436,0.567751001,0.001251055,0.752140897,-0.002318998,0.407765955,-0.009693975,0.058484844,-0.004449057
DPYSL3,0.881385556,0.006470952,0.798982831,0.000601731,0.944662982,0.000548586,0.005905871,0.033858889,0.061886523,-0.004566619
MAOB,0.179186551,-0.054937419,0.724348625,0.000778861,0.57060115,-0.004159501,0.503324305,-0.007827016,0.062071891,-0.00438313
RUVBL1,0.640111468,-0.030812255,0.527034135,-0.00232973,0.46192573,-0.008279531,0.911130561,-0.002807021,0.062378111,0.005650534
APOD,0.996333019,0.000188113,0.250201012,0.002514308,0.935569627,0.000593214,0.290940482,-0.012354426,0.062631793,-0.0043752
PROS1,0.846503366,-0.008217412,0.609963285,0.001157434,0.641754122,0.003566566,0.813133281,0.002844102,0.062716373,-0.00445014
VDAC1,0.775646948,0.011609612,0.930031871,-0.00019145,0.257358119,0.00825992,0.20476041,0.014742987,0.062957389,-0.004344305
EPX,0.619295157,-0.029234989,0.676597211,0.001271682,0.77154998,0.002921885,0.691037131,-0.006348314,0.063100801,-0.007332812
APOE,0.759894772,-0.012444243,0.711959313,0.000803843,0.748085793,-0.002344517,0.664095532,-0.005057325,0.063466875,-0.004339044
CTSD,0.642186199,0.019022991,0.226620093,0.002644662,0.409265117,0.006055054,0.310747813,0.011863687,0.063852941,-0.004356818
RPS11,0.013121084,-0.11897012,0.029299558,-0.005693902,0.271005576,-0.008992988,0.200185152,-0.017039841,0.064141113,-0.005276607
ADH4,0.073564002,-0.073175999,0.534073674,-0.001362204,0.351030302,-0.006848299,0.538680365,-0.007205041,0.0647085,-0.004346717
TUBA1C,0.969694353,-0.003084432,0.557361652,-0.002488271,0.284865337,0.01560097,0.068289175,-0.053995563,0.064872202,-0.013375834
ASAH1,0.537521021,-0.026198082,0.997637057,-6.80E-06,0.794227108,0.002021558,0.99540775,7.59E-05,0.065592316,-0.004342701
YWHAG,0.01119392,-0.103120063,0.008368468,-0.005729681,0.095677813,-0.012173155,0.183228689,-0.015522878,0.065618117,-0.004315539
LAMP1,0.59842039,-0.025028547,0.289100951,-0.00266514,0.316259012,-0.008647027,0.68363474,0.006122506,0.065890902,0.004549135
PECR,0.372937791,-0.057694439,0.047010497,-0.006854107,0.397334829,-0.008925581,0.499310581,-0.011539074,0.066620514,0.008459241
APOA1,0.27131341,-0.045053682,0.908046635,0.000253139,0.717286174,-0.002660633,0.097156749,-0.019412275,0.066818771,-0.004313717
NPM1,0.083824973,-0.071245054,0.196185598,-0.00285454,0.841236436,-0.001483467,0.051830345,-0.024069453,0.066935485,-0.004313199
RPS2,0.410291865,-0.033660255,0.712109936,0.000809549,0.81716096,0.001693086,0.744434266,-0.003806239,0.068689387,-0.004312948
HNRNPK,0.050559445,-0.080360604,0.601911732,-0.001147211,0.067709805,-0.013459796,0.443921816,-0.00892681,0.068950111,-0.004253351
AOC3,0.506329221,-0.027321161,0.859697938,-0.000389818,0.862264494,-0.001281347,0.396595272,-0.009936293,0.069129735,-0.004277182
ALDH1A1,0.044537928,-0.082064027,0.706596251,0.000824289,0.099525946,-0.012073379,0.460685256,-0.008639146,0.069539942,-0.004268244
HRSP12,0.191042063,-0.053528041,0.905184306,-0.000261025,0.246923357,-0.008509143,0.498696391,-0.007926912,0.069762878,-0.004268779
AGMAT,0.171852194,-0.058913086,0.227907895,-0.002753711,0.212716185,-0.009559207,0.636515108,-0.006447538,0.070791505,-0.004780757
IMMT,0.683325519,-0.016797199,0.249456676,-0.002523689,0.432181876,0.005846746,0.812582689,-0.002779758,0.070938454,-0.004249971
HSD17B10,0.041819918,-0.085303758,0.000206927,-0.00838371,0.079241706,-0.013223955,0.097765416,-0.021847923,0.071120394,0.004256641
C8B,0.098626066,0.075724768,0.976766474,-7.02E-05,0.393896377,0.007012183,0.998372119,2.57E-05,0.071347315,0.004607066
APOA4,0.031949587,-0.08756064,0.401760607,-0.001834792,0.095505411,-0.012214713,0.468692239,-0.008483,0.071837749,-0.004232345
ARF6,0.51517666,-0.036485211,0.786018997,0.000850357,0.706801324,-0.003731938,0.655990705,-0.006554347,0.072303137,-0.006196488
NCL,0.08023313,-0.071515057,0.361616115,-0.001997097,0.495576615,-0.005003265,0.10990945,-0.01869879,0.072575455,-0.004223489
HMGCL,0.15976375,-0.073719398,0.744439651,-0.000921972,0.891227642,-0.001271266,0.083035247,-0.027766768,0.07287458,-0.004917465
HDGF,0.942175728,-0.003166592,0.63654312,0.001127684,0.668767405,0.003302911,0.505239354,0.008246174,0.07314337,-0.004360729
PGK1,0.941330646,0.003016102,0.106187252,0.003533986,0.473556275,-0.005264024,0.471538372,-0.008436446,0.073961636,0.004205016
APOB,0.091836352,-0.06749944,0.062928894,-0.003979831,0.268233196,0.007956158,0.041565423,-0.023318304,0.074053989,-0.004114876
HSDL2,0.168131922,-0.068059086,0.661281664,-0.001216816,0.844298505,-0.001703382,0.23109604,-0.019698726,0.074145841,-0.006690418
CTNNA1,0.423587343,-0.033908389,0.422417121,-0.001848746,0.144161972,0.01108959,0.12324189,-0.018227265,0.076831816,-0.004281913
MYH11,0.007773795,-0.107708603,0.031306699,-0.004666201,0.236943985,-0.00861219,0.04347951,-0.023415452,0.076914758,-0.00412976
MDH2,0.010587431,-0.104269252,0.000630018,-0.007430842,0.263465689,-0.00820688,0.717260628,0.004243112,0.077255008,-0.004156951
ALDH2,0.125342398,-0.062600365,0.714578911,-0.000799817,0.433958671,-0.005735858,0.585586654,-0.006378138,0.077591464,-0.004145782
FGA,0.061523536,0.076020894,0.543263975,0.001324275,0.87116526,0.001184913,0.312151865,0.011773378,0.079559131,0.004103297
SCP2,0.6331654,-0.019413315,0.079137932,-0.003811248,0.669395803,0.003113783,0.759139171,-0.003567476,0.082470164,-0.004057171
A1BG,0.539032252,0.025133073,0.430463866,-0.001724487,0.810714489,0.001757224,0.580114093,0.006474446,0.082855313,0.004076385
GDI2,0.208588768,-0.054253939,0.387601646,-0.001940731,0.559599183,-0.004507072,0.484528265,-0.008373117,0.084563234,-0.004155798
HMGCS2,0.018272845,-0.096128536,0.394560769,-0.001860137,0.108902786,-0.011730184,0.66128834,-0.005122549,0.084596622,-0.004049289
CYP1A2,0.045400316,-0.134579586,0.098958612,-0.005795715,0.862729244,-0.001941774,0.124854891,-0.03477989,0.085638539,-0.007348299
ITIH1,0.778764738,0.012458976,0.689968634,-0.000945204,0.070797603,0.014627396,0.741889478,0.004468102,0.085870408,-0.005191922
DARS,0.575731574,0.045553781,0.968907864,0.000176098,0.596412553,-0.008618443,0.17489049,0.035042664,0.086652621,0.006216739
RPS7,0.140161715,0.068291207,0.718692313,-0.000898295,0.425602016,0.006885411,0.085726921,0.024670533,0.088116853,0.004138749
IGHV3.15,0.930693243,-0.003835827,0.593015118,-0.001267718,0.291558802,0.008197103,0.949069865,-0.000771602,0.089577425,0.004713891
IGLV1.51,0.424181673,-0.047451624,0.757041357,-0.000923121,0.24123149,0.013494614,0.039840254,-0.03162498,0.090872418,-0.005297596
IGKV2.29,0.073070734,-0.101576136,0.244941204,-0.00366303,0.288036766,-0.011191375,0.132977249,-0.029161102,0.091881347,-0.005352533
ARF1,0.578890221,0.023988612,0.977402931,6.44E-05,0.722711254,-0.002738692,0.354273189,0.011487367,0.092458423,0.004075449
BLM,0.038369341,-0.140653738,0.677608369,-0.001643817,0.399132538,-0.010258489,0.106164884,-0.033831519,0.09263263,-0.006181193
CRYL1,0.471259852,-0.032114893,0.50997546,0.001567163,0.88417151,-0.001140486,0.62688198,-0.00599693,0.093872431,-0.004322607
PTGES3,0.78852386,-0.013656617,0.768325929,0.000799295,0.96200325,0.000437223,0.169802435,0.020366695,0.095448375,-0.004470189
LONP1,0.529355351,-0.027824013,0.052994003,-0.004588171,0.748985751,-0.00252472,0.389879321,0.010432132,0.09658063,0.00403972
CLU,0.457065082,-0.030133064,0.625025399,-0.001059068,0.750207946,-0.002313386,0.500592168,-0.007806576,0.097307669,-0.003860383
HYOU1,0.774868749,-0.021741869,0.193701319,0.00521768,0.660060509,-0.006443123,0.897904585,-0.002490789,0.097558392,-0.006495098
MUC2,0.548261942,0.027271776,0.23721402,0.002883915,0.391014601,0.006863761,0.690578499,-0.005003294,0.097898632,-0.004368598
PSMA4,0.083013196,-0.069755817,0.646594429,-0.000988343,0.423366147,-0.005784911,0.125912536,-0.017622638,0.098242142,-0.003829491
ATRN,0.297503785,-0.052326306,0.518288972,-0.001681619,0.898348998,-0.001141016,0.302658897,-0.013835593,0.098242917,-0.004519467
HSD17B12,0.520175748,-0.029918206,0.098768995,-0.004231416,0.779373315,0.002268483,0.910565114,-0.001686592,0.098801258,-0.004034786
FN1,0.119851704,-0.06326968,0.332876939,-0.002108182,0.541646833,-0.004457002,0.336979531,-0.01118221,0.100850256,-0.003839972
QPRT,0.236460283,-0.056938553,0.616103918,-0.001297486,0.136547295,-0.012697115,0.727747556,-0.004734716,0.102973594,0.004121657
HBG2,0.424340711,-0.037054599,0.706455112,0.00092706,0.692485642,-0.003314446,0.283867986,-0.013365789,0.104861853,-0.00408345
FKBP1A,0.915594085,0.004378601,0.586263674,-0.001213673,0.135729973,0.011168594,0.37741699,-0.010326415,0.105843696,-0.004198704
GNAI1,0.043983102,0.119806144,0.888430546,0.000421819,0.090532221,0.019579992,0.036653069,0.03264683,0.107123175,0.006421337
LMAN2,0.777237706,-0.01711199,0.494509778,-0.002208976,0.518017973,0.006992617,0.623137933,-0.008346341,0.109055465,-0.005139059
HBD,0.114782214,-0.064505172,0.245807349,-0.002540136,0.413500593,-0.006003836,0.043511224,-0.023592992,0.109928094,-0.003762313
HK1,0.310540926,-0.047757241,0.044222169,-0.005092771,0.271715954,-0.009297905,0.780748112,-0.003528629,0.109968279,0.004712684
TUBB4B,0.428977342,-0.045736141,0.227645999,-0.00382264,0.964560348,-0.000433591,0.331400853,-0.019805631,0.110189394,-0.00595507
LAMC1,0.765407947,-0.016322728,0.237322525,-0.003574958,0.562221728,-0.005554647,0.467448644,0.011660587,0.110983621,0.004607047
DCTN2,0.850490935,0.010921644,0.967692649,-0.000129221,0.295115344,0.011251512,0.364892727,0.016265941,0.111523147,-0.005026871
RPL13,0.032200373,-0.088390952,0.373697492,-0.001969904,0.131690451,-0.011141807,0.244775128,-0.013798636,0.114806167,-0.003700566
OGDH,0.337245954,0.070473429,0.97991,9.31E-05,0.165219841,0.017981621,0.641950164,0.0098404,0.116120411,-0.005943087
SNRPD2,0.094637633,-0.102718452,0.029122542,-0.006809719,0.93414914,-0.000894827,0.31974076,-0.016445228,0.116559414,-0.005126193
H2AFJ,0.121152112,-0.088016952,0.986376917,5.05E-05,0.160949388,-0.014706644,0.008179796,-0.043847385,0.120073248,-0.005645686
TARDBP,0.328345903,-0.113037955,0.24316591,-0.00836638,0.331858478,-0.018346646,0.759787156,0.014171748,0.12068339,-0.015904563
ATP5B,0.160373228,0.057131545,0.024554218,0.004882562,0.275506803,0.007960551,0.85454272,-0.002136722,0.124061915,0.003600839
C4A,0.583535963,-0.027170217,0.878507481,0.000408171,0.243446729,-0.010365797,0.251232197,0.015612305,0.125093942,0.005414702
CCT7,0.79308209,-0.011231141,0.719331472,0.000847822,0.563827194,0.004422804,0.450333987,-0.00912908,0.126939712,-0.003763155
IGHG2,0.540353359,-0.024867063,0.371313157,-0.001940895,0.666544235,0.003137923,0.584503351,-0.006352503,0.127267058,-0.003559485
CEACAM8,0.894726283,-0.014100558,0.332845673,0.005848934,0.611872274,-0.010510003,0.59236395,-0.01758,0.128116043,-0.005970802
GNB2,0.928901718,0.004379519,0.929859514,-0.000228467,0.991348921,9.45E-05,0.01143661,0.036603172,0.128238555,-0.004205329
RPN2,0.846017367,-0.008126692,0.042428762,-0.004513672,0.440654545,0.005752865,0.084960462,0.020931623,0.130968857,-0.003735621
GSTP1,0.753870077,-0.013034236,0.283312472,-0.002389034,0.732937481,0.00259522,0.335928589,-0.011331062,0.131769887,-0.00362383
FBP1,0.008360252,-0.109883524,0.249047498,-0.002624036,0.15614394,-0.010621721,0.036973999,-0.024522451,0.132365798,-0.003556183
ACSM2A,0.576343691,0.046673236,0.535389826,0.002717655,0.748195372,0.004821571,0.662682458,-0.011868605,0.132802388,-0.007576961
GLYAT,0.431967103,0.042595957,0.558667745,0.001630229,0.012665699,0.024446809,0.427604472,-0.011821066,0.134234477,-0.004046134
ALDH5A1,0.041104958,-0.0838943,0.970923512,-8.04E-05,0.049997605,-0.014387803,0.762321909,0.003548558,0.135926139,-0.003509179
AGER,0.101899452,-0.082831642,0.141362339,-0.003869786,0.539824481,-0.005441541,0.526796542,-0.008661353,0.136753057,-0.004983917
SERPINC1,0.024471777,-0.113497763,0.035580421,-0.005705191,0.017752169,-0.021076639,0.623836545,-0.009995275,0.137592598,-0.005243386
PARVA,0.39152458,-0.041894543,0.936426311,0.000211073,0.689695995,0.003469578,0.495285875,-0.008731623,0.138373997,-0.004053335
