"rank","count","group"
0,304,"HP"
0.0102040816326531,421,"HP"
0.0204081632653061,490,"HP"
0.0306122448979592,548,"HP"
0.0408163265306122,587,"HP"
0.0510204081632653,607,"HP"
0.0612244897959184,625,"HP"
0.0714285714285714,642,"HP"
0.0816326530612245,706,"HP"
0.0918367346938776,729,"HP"
0.102040816326531,747,"HP"
0.112244897959184,760,"HP"
0.122448979591837,766,"HP"
0.13265306122449,776,"HP"
0.142857142857143,781,"HP"
0.153061224489796,786,"HP"
0.163265306122449,793,"HP"
0.173469387755102,803,"HP"
0.183673469387755,812,"HP"
0.193877551020408,821,"HP"
0.204081632653061,829,"HP"
0.214285714285714,833,"HP"
0.224489795918367,839,"HP"
0.23469387755102,839,"HP"
0.244897959183673,846,"HP"
0.255102040816327,851,"HP"
0.26530612244898,853,"HP"
0.275510204081633,853,"HP"
0.285714285714286,860,"HP"
0.295918367346939,860,"HP"
0.306122448979592,870,"HP"
0.316326530612245,873,"HP"
0.326530612244898,874,"HP"
0.336734693877551,875,"HP"
0.346938775510204,875,"HP"
0.357142857142857,875,"HP"
0.36734693877551,879,"HP"
0.377551020408163,879,"HP"
0.387755102040816,882,"HP"
0.397959183673469,882,"HP"
0.408163265306122,885,"HP"
0.418367346938776,886,"HP"
0.428571428571429,891,"HP"
0.438775510204082,891,"HP"
0.448979591836735,892,"HP"
0.459183673469388,892,"HP"
0.469387755102041,895,"HP"
0.479591836734694,901,"HP"
0.489795918367347,907,"HP"
0.5,907,"HP"
0.510204081632653,909,"HP"
0.520408163265306,909,"HP"
0.530612244897959,917,"HP"
0.540816326530612,917,"HP"
0.551020408163265,918,"HP"
0.561224489795918,918,"HP"
0.571428571428571,919,"HP"
0.581632653061224,919,"HP"
0.591836734693878,920,"HP"
0.602040816326531,920,"HP"
0.612244897959184,920,"HP"
0.622448979591837,923,"HP"
0.63265306122449,923,"HP"
0.642857142857143,924,"HP"
0.653061224489796,925,"HP"
0.663265306122449,932,"HP"
0.673469387755102,932,"HP"
0.683673469387755,937,"HP"
0.693877551020408,941,"HP"
0.704081632653061,950,"HP"
0.714285714285714,952,"HP"
