colnames-ALL---c-1-15--,P_VAS,P_SJC,P_TJC,P_CRP,X3.1,X3.8,X5.0
PRMT1,0.747101303,0.489722529,0.825163863,0.811503327,0,0,1
MYL12A,0.472227457,0.894742084,0.09412456,0.021917686,0,0,1
GLOD4,0.981793441,0.496172052,0.454454455,0.146727009,0,0,1
ASAH1,0.995915913,0.622897614,0.823551634,0.031250992,0,0,0
FASN,0.207239967,0.161226821,0.208940008,0.569886768,1,0,0
GOT1,0.500150581,0.000102201,0.161789111,0.699665752,0,0,0
C1QC,0.181042527,0.116931507,0.594404347,0.586083532,0,0,0
PLS3,0.856216872,0.133920198,0.059135141,0.880934047,1,1,0
CLCA1,0.10812034,0.017719857,0.256391928,0.800575607,0,0,0
IDH2,0.257760838,0.446113712,0.180225838,0.964733042,0,0,0
SF3B1,0.004538357,0.033822831,0.178021966,0.218305338,0,1,0
PGLYRP2,0.089793876,0.73687359,0.212608235,0.004201567,0,0,0
AP2B1,0.413717357,0.800202232,0.281356045,0.869476352,0,0,0
HIST1H2AJ,0.76049717,0.198763555,0.841937896,0.029748388,0,0,0
AK4,0.04109941,0.091024212,0.025102657,0.268855867,0,0,1
ANXA5,0.459720281,0.148974428,0.589042433,0.056944601,0,0,0
RBMXL1,0.025856662,0.412945123,0.656795766,0.926873171,0,0,0
PTRF,0.396939013,0.304919425,0.544624873,0.618601531,0,0,0
IGLC6,0.088538851,0.720845423,0.137967808,0.59745305,0,0,0
LPCAT3,0.343922115,0.491467615,0.559971434,0.470390073,0,0,0
RUVBL1,0.930207036,0.853652662,0.591655175,0.556108118,0,0,0
IGFALS,0.061580858,0.077615278,0.013583652,0.679116878,0,0,0
PC,0.204970795,0.639520589,0.557459716,0.091723917,0,1,0
IGHV6-1,0.111450495,0.032282733,0.104880706,0.019296759,0,0,0
HSPA9,0.959192398,0.720036565,0.725771942,0.602848401,0,0,0
UGT2B15,0.404214149,0.220883718,0.44463754,0.835229799,0,0,0
RPL35,0.723365212,0.057232687,0.852651011,0.350329811,0,0,0
VPS35,0.261221543,0.769539074,0.520381208,0.94358207,0,0,0
EEF1G,0.870418506,0.083094951,0.335146108,0.060168645,0,0,0
IGKV3D-20,0.35827184,0.67210571,0.420276078,0.951702599,0,0,0
PURA,0.650026449,0.973134583,0.578749022,0.023423644,0,1,0
SLC27A5,0.375337238,0.75597485,0.703717851,0.888544948,0,1,0
IGKC,0.921563392,0.813366072,0.231607136,0.524876297,0,0,0
MUC2,0.558246784,0.483747362,0.504688807,0.101600384,0,0,0
ORM1,0.002128815,0.006240614,0.067417571,2.20E-06,0,1,0
CSRP1,0.048362158,0.902514169,0.691699936,0.453963292,0,0,0
ETFA,0.450368041,0.502650343,0.412305893,0.343670364,0,0,0
ALDH1A1,0.934790438,0.413703551,0.044280024,0.044594471,0,0,0
IGHG4,0.020902294,0.26573228,0.174019262,0.598145373,0,1,0
ATP5A1,0.160552835,0.869100349,0.495448225,0.118229053,0,0,0
CCT5,0.004267736,0.881184987,0.777145971,0.937407543,0,0,0
GGT1,0.845365186,0.341918435,0.415293917,0.694540639,0,0,0
LTF,0.590765386,0.005382751,0.262926475,0.440862417,0,0,0
AIFM1,0.144926921,0.192231631,0.621304428,0.026882308,0,0,0
RALY,0.698349194,0.521862915,0.784080496,0.520837316,0,0,0
PLG,0.033040251,0.166587485,0.03962823,0.155988097,0,0,0
KHK,0.446038409,0.827502266,0.120082559,0.767754739,0,0,0
HSP90AA1,0.560290374,0.42140827,0.914846652,0.492916221,0,1,0
SMCR8,0.387351804,0.759788878,0.698131736,0.953395591,0,0,0
ALDOC,0.131777385,0.501922824,0.275400372,0.601445778,0,0,0
VCP,0.985384974,0.046781707,0.763531808,0.967742495,0,0,0
BLVRB,0.798214728,0.730195549,0.519003123,0.668747338,0,0,0
S100A12,0.218900514,0.87427875,0.465406098,0.023241606,1,0,0
ADH4,0.444781608,0.480011749,0.211959454,0.149567346,0,0,0
NDUFA13,0.866127026,0.157401749,0.266723267,0.04220622,0,0,0
HIST1H2BL,0.127630495,0.499950994,0.919675846,0.528234173,0,0,0
RNH1,0.789956873,0.712848856,0.412966061,0.100258283,0,0,0
CD5L,0.312958085,0.182403825,0.243142714,0.52540647,1,0,0
ACSM2A,0.430833426,0.929173866,0.866970462,0.285148752,0,0,0
PFN1,0.505876844,0.75935457,0.705596811,0.452219042,0,0,0
CPS1,0.890731252,0.601448414,0.142050894,0.091228985,0,0,0
APOC3,0.125020681,0.572507384,0.014822887,0.600086812,0,0,0
APOM,0.582690388,0.216547324,0.338618706,0.077786127,0,0,0
C9,0.293942024,0.493656408,0.03774592,0.014531556,0,0,0
AMBP,0.179341914,0.306300398,0.153396886,0.98839222,1,0,0
HPX,0.037580797,0.468397907,0.524572017,8.62E-05,0,0,0
CCT2,0.885230635,0.589920016,0.828756551,0.039674813,0,0,0
SLC9A3R1,0.892619177,0.137279306,0.194476816,0.34947741,0,0,0
ECHS1,0.603525987,0.53998284,0.658780343,0.751475967,0,0,0
ITGB6,0.24778137,0.154318016,0.23978661,0.093317921,0,0,0
FERMT2,0.61398349,0.394829366,0.943461888,0.702275,0,0,0
EIF4A1,0.197020037,0.734924941,0.402336883,0.013039684,0,0,0
TPI1,0.272622677,0.139153063,0.979660665,0.695966114,0,0,0
ACAA2,0.252938785,0.670822784,0.434287511,0.139509447,0,1,0
ANP32D,0.685367681,0.908496581,0.560472225,0.470567711,0,0,0
CORO1B,0.355282926,0.277884307,0.0027507,0.608904185,0,0,0
SNRPD2,0.040720867,0.283158674,0.588133174,0.140306811,0,0,0
LONP1,0.152027554,0.429633274,0.736782869,0.102990188,0,0,0
ATP5B,0.045464423,0.981608697,0.267432678,0.045613974,0,0,0
DCXR,0.317919883,0.256008456,0.971329287,0.915394476,0,0,0
RAB8A,0.86832077,0.892790262,0.53014617,0.714793781,0,0,0
5,0.646058822,0.217088775,0.283295258,0.004315018,0,0,0
CYCS,0.734749504,0.651298517,0.463744151,0.091860038,0,0,0
C7,0.397437557,0.998718901,0.530257533,0.101181465,0,0,0
SELENBP1,0.023054773,0.090512173,0.099673476,0.059440219,0,0,0
YWHAZ,0.080373584,0.815811562,0.031332503,0.351824149,0,0,0
GNPDA1,0.451844669,0.592332991,0.750053441,0.424343069,0,0,0
UBA1,0.030737125,0.658994995,0.205230484,0.034671835,0,0,0
RPN1,0.891309942,0.475143068,0.030703825,0.047097055,0,0,0
YWHAG,0.003390651,0.118421581,0.14207364,0.072807269,0,0,0
IGHV3-23,0.434603985,0.297445581,0.437542504,0.823777927,0,0,0
ARHGDIA,0.156894672,0.098682884,0.017141588,0.317932831,0,0,0
RPL3,0.537379684,0.688899808,0.946638801,0.151310861,0,0,0
CCT8,0.077019252,0.320292132,0.191219365,0.4736682,0,0,0
TLN1,0.157386778,0.627809815,0.357148079,0.11495296,0,0,0
EPCAM,0.652657706,0.556645259,0.146167155,0.744626163,0,0,0
RPL34,0.974719698,0.038965092,0.954840142,0.067427394,0,0,0
SLC25A6,0.10508739,0.142306791,0.26180803,0.543019278,0,0,0
AOC3,0.392000896,0.392399832,0.804669824,0.086462408,0,1,0
UBE2D2,0.330109499,0.711971543,0.760605033,0.595293099,0,0,0
LYZ,0.648127316,0.164981371,0.571236603,0.894777232,1,0,0
HMGCS2,0.261843334,0.742883634,0.079879332,0.259017712,0,0,0
ACADSB,0.834121012,0.039825898,0.519749504,0.553948975,0,0,0
CSRP3,0.295372611,0.120468133,0.039037799,0.507742799,0,0,0
FRMPD1,0.756679841,0.708022784,0.824540588,0.439351676,0,0,0
PSME2,0.911562449,0.886553642,0.93933719,0.622003565,0,0,0
CLIC1,0.941313632,0.290285726,0.063628202,0.335821166,0,0,0
KRAS,0.909461724,0.447435137,0.17424855,0.328498086,0,0,0
TSPAN8,0.436869415,0.331526521,0.569600883,0.274215046,0,0,0
H1F0,0.425791007,0.837584329,0.74734667,0.376722811,0,0,0
HNRNPC,0.013657602,0.289679182,0.280680664,0.805892875,0,0,0
SYNCRIP,0.276160245,0.068638885,0.03946669,0.191295291,0,0,0
APOC1,0.140183442,0.96576167,0.691256467,0.429523667,0,0,0
SERPINF1,0.214070655,0.487066263,0.641990788,0.054317768,0,0,0
ACADM,0.037960332,0.953626698,0.4982403,0.632273796,0,0,0
ADH1C,0.366172805,0.333282665,0.858523299,0.747140881,0,0,0
11-Sep,0.858227292,0.106662962,0.341835383,0.496265445,0,0,0
ANXA1,0.420173669,0.378033741,0.594769016,0.974138576,0,0,0
ERLIN2,0.908011758,0.536684088,0.502374874,0.609248617,0,0,0
CRYL1,0.509213121,0.679727479,0.692354538,0.126131035,0,0,0
STAT1,0.110270509,0.478540062,0.947672911,0.664882673,0,0,0
NME2,0.261677642,0.467778365,0.225041162,0.808491353,0,0,0
CAPN1,0.163074658,0.43605885,0.4549579,0.510987816,0,0,0
ALDH4A1,0.282157687,0.248018136,0.473514686,0.041198675,0,0,0
IGLV7-46,0.938456392,0.908398336,0.998049231,0.457835849,1,1,0
ALDOB,0.892304256,0.453874084,0.47745093,0.979719983,0,0,0
PCYOX1,0.003896989,0.255053764,0.365714955,0.20009153,0,0,0
PSMA3,0.271536992,0.337744402,0.116159517,0.726495847,0,0,0
COL6A1,0.106264406,0.211798225,0.078486208,0.171042627,0,0,0
NNT,0.668949109,0.231568918,0.938687288,0.323088821,1,1,0
YWHAE,0.328645603,0.737950215,0.613488661,0.872427436,0,0,0
PAICS,0.414409888,0.65299639,0.895007428,0.704348008,0,0,0
H2AFJ,0.697844897,0.006876139,0.05174185,0.511480023,0,0,0
MSN,0.736742323,0.848036804,0.498421781,0.535794874,0,0,0
FLNA,0.608804786,0.751775839,0.769341453,0.388872211,0,0,0
SOD2,0.614435408,0.956952224,0.446310206,0.950434419,0,0,0
SSB,0.862374623,0.755430525,0.369475408,0.292594569,0,0,0
IGKV3D-11,0.644914278,0.043337701,0.884161692,0.564134049,0,0,0
MDH1,0.700292386,0.179533705,0.398010637,0.055058334,0,0,0
APOB,0.027551278,0.087690206,0.883352839,0.086167995,1,1,0
SOD1,0.024977572,0.237971316,0.016942394,0.846292841,0,0,0
PTMA,0.092735695,0.321467028,0.43907141,0.426280828,0,0,0
PRDX4,0.162239988,0.115169133,0.668880102,0.652494339,0,0,0
ACO1,0.336648252,0.647324415,0.620262878,0.173389738,0,0,0
AQP1,0.090672278,0.656493187,0.354106558,0.73661841,0,1,0
RPL23,0.599855284,0.592521872,0.847940324,0.796135783,0,0,0
DHRS4,0.820328176,0.122923165,0.931643931,0.806907001,0,0,0
ALDH5A1,0.341861684,0.83436349,0.15058134,0.071376635,0,0,0
DES,0.265875607,0.553440253,0.30528371,0.053549623,0,0,0
HADHA,0.427999164,0.009832725,0.211048521,0.890225911,0,0,0
S100A9,0.169742452,0.686602218,0.93576088,0.388606858,1,0,0
GLYAT,0.477500593,0.627138723,0.014695376,0.361618546,0,0,0
RDX,0.48268134,0.828235584,0.269862383,0.285367252,0,0,0
RAP1A,0.91191998,0.235008635,0.342352736,0.583611083,0,0,0
ITGA1,0.262525319,0.685824455,0.844025546,0.43163682,0,1,0
SET,0.417186713,0.287918732,0.478881858,0.987129132,0,1,0
RAB6B,0.631362838,0.677355528,0.608754922,0.387866845,0,0,0
CAT,0.600426142,0.778015784,0.4732977,0.23061512,0,0,0
EZR,0.307740133,0.215281098,0.464319138,0.039472793,0,0,0
PYGL,0.91587114,0.376697883,0.410769538,0.195674947,0,1,0
ACOT13,0.472258522,0.626109782,0.204054347,0.247093035,0,0,0
COX7C,0.158916917,0.823657096,0.724804802,0.430182893,0,0,0
USMG5,0.353361444,0.375132416,0.862570062,0.214561976,0,0,0
IGHV1-3,0.846869744,0.335147471,0.478829813,0.261283535,0,0,0
VTN,0.141359107,0.900280352,0.992301858,0.512739799,0,1,0
RSU1,0.199008371,0.386681834,0.849340285,0.396636412,1,1,0
GPI,0.023906382,0.180517402,0.010035788,0.388820275,0,0,0
CES1,0.258133556,0.095327607,0.040488107,0.238045785,0,0,0
DARS,0.491071715,0.55030932,0.876178851,0.849759945,0,0,0
DDT,0.498949161,0.383575809,0.679487296,0.036591529,0,0,0
HRG,0.69354719,0.4892562,0.973886191,0.934690041,0,0,0
ATP5L,0.770678633,0.512973003,0.731924018,0.860849301,0,0,0
LRRC59,0.310138032,0.688683545,0.703317128,0.841279473,0,0,0
ESD,0.718847388,0.205270289,0.659005172,0.063386254,0,0,0
PSMA4,0.761234761,0.139615926,0.298767237,0.140180682,0,0,0
GBE1,0.068788545,0.230585725,0.176065502,0.263453481,0,0,0
IGLV3-9,0.683866247,0.120012413,0.921134348,0.268597166,0,0,0
XRCC5,0.862431539,0.845806648,0.322554082,0.04430239,0,0,0
HABP2,0.047304134,0.330764633,0.845485087,0.52183817,0,0,0
SCCPDH,0.980285827,0.336651274,0.876665215,0.560449686,0,0,0
DYNLL2,0.159180924,0.310734887,0.513534944,0.689772179,0,0,0
