,protein,significant protein at 5.1,significant protein at 2.9,significant protein at 4
164,P78563,1.566478525,NA,NA
165,P80297,NA,-1.89732583,NA
166,P84077,NA,NA,-2.134970242
167,P98164,NA,NA,-1.391446692
168,Q01995,-1.352072403,NA,NA
169,Q02218,1.318590604,NA,NA
170,Q04828,NA,1.81800941,NA
171,Q08426,NA,NA,-2.869203213
172,Q08AH3,-1.458639018,NA,NA
173,Q09666,-1.337755023,NA,NA
174,Q13151,NA,NA,1.896996962
175,Q13423,NA,NA,-2.634941259
176,Q13510,NA,1.464046416,NA
177,Q13561,1.435643438,2.098193992,NA
178,Q13825,NA,NA,-2.55309309
179,Q14108,1.533480394,NA,NA
180,Q14520,-2.435116705,NA,NA
181,Q15084,NA,-2.086787393,NA
182,Q15109,NA,NA,-1.93124619
183,Q15124,NA,1.302721412,NA
184,Q15149,-1.914794374,NA,-1.546547665
185,Q15274,NA,NA,-1.587074997
186,Q15366,-1.483406152,-4.832424633,NA
187,Q15404,-1.62960766,NA,NA
188,Q15746,-3.390767676,NA,NA
189,Q16822,NA,NA,-1.488271536
190,Q53GQ0,-1.587130336,NA,NA
191,Q5SYB0,-3.740457351,NA,NA
192,Q6EEV6,NA,1.697647418,NA
193,Q6P1A2,NA,-1.878807348,NA
194,Q7Z5P4,NA,1.325052203,NA
195,Q86XE5,NA,-1.475018891,NA
196,Q8NCW5,NA,-1.745189339,NA
197,Q8NE71,NA,NA,1.440261318
198,Q8NEP3,NA,NA,-2.696591937
199,Q8TEV9,1.820056004,NA,NA
200,Q92526,NA,NA,-1.366166813
201,Q92747,NA,NA,-1.366166813
202,Q92947,NA,NA,-3.707779715
203,Q969Z3,1.405541702,NA,NA
204,Q96AC1,1.751820196,1.676368846,NA
205,Q96FJ2,NA,NA,1.479902759
206,Q96IY4,NA,NA,-1.305945469
207,Q96PD5,NA,NA,-1.361118174
208,Q99424,NA,-5.231526551,NA
209,Q99536,NA,NA,-1.527172813
210,Q99798,NA,NA,-2.197821892
211,Q9BQB6,NA,-1.478712116,NA
212,Q9BRA2,-2.136638679,NA,NA
213,Q9BSE5,NA,NA,-2.184491676
214,Q9BXN1,NA,1.818745616,NA
215,Q9H0W9,1.605381395,NA,NA
216,Q9H1E3,2.155437696,NA,NA
217,Q9HAW9,2.41405562,5.031059677,NA
218,Q9HDC9,1.74330027,NA,NA
219,Q9NYQ3,NA,-1.782348836,NA
220,Q9P2E9,NA,NA,-2.223219067
221,Q9UBE0,-5.965128817,NA,NA
222,Q9ULA0,-1.454528798,NA,NA
223,Q9Y277,NA,1.312131179,NA
