"i","train_auc","test_auc"
1,0.795918367346939,0.8
2,0.918367346938776,0.85
3,0.816326530612245,0.933333333333333
4,0.887755102040816,0.816666666666667
5,0.836734693877551,0.9
6,0.979591836734694,0.616666666666667
7,0.948979591836735,0.816666666666667
8,0.989795918367347,0.7
9,0.846938775510204,0.833333333333333
10,0.806122448979592,0.9
11,1,0.65
12,0.897959183673469,0.816666666666667
13,0.877551020408163,0.8
14,0.826530612244898,0.95
15,0.897959183673469,0.8
16,0.86734693877551,0.833333333333333
17,0.908163265306122,0.8
18,0.969387755102041,0.666666666666667
19,0.908163265306122,0.783333333333333
20,0.918367346938776,0.7
21,0.948979591836735,0.783333333333333
22,0.908163265306122,0.783333333333333
23,0.785714285714286,0.9
24,0.795918367346939,0.9
25,0.887755102040816,0.8
26,0.938775510204082,0.716666666666667
27,0.979591836734694,0.683333333333333
28,0.857142857142857,0.833333333333333
29,0.857142857142857,0.833333333333333
30,0.836734693877551,0.866666666666667
31,0.846938775510204,0.85
32,0.928571428571429,0.716666666666667
33,0.948979591836735,0.85
34,0.897959183673469,0.766666666666667
35,0.897959183673469,0.716666666666667
36,0.877551020408163,0.833333333333333
37,0.918367346938776,0.783333333333333
38,0.795918367346939,0.866666666666667
39,0.918367346938776,0.766666666666667
40,0.795918367346939,0.85
41,0.928571428571429,0.716666666666667
42,0.928571428571429,0.766666666666667
43,1,0.683333333333333
44,0.806122448979592,0.916666666666667
45,0.86734693877551,0.816666666666667
46,0.908163265306122,0.716666666666667
47,0.826530612244898,0.866666666666667
48,0.887755102040816,0.783333333333333
49,0.877551020408163,0.8
50,0.826530612244898,0.9
51,0.928571428571429,0.816666666666667
52,0.795918367346939,0.9
53,0.897959183673469,0.766666666666667
54,0.989795918367347,0.55
55,0.938775510204082,0.766666666666667
56,0.959183673469388,0.733333333333333
57,0.857142857142857,0.816666666666667
58,0.887755102040816,0.733333333333333
59,0.73469387755102,0.866666666666667
60,0.897959183673469,0.75
61,0.908163265306122,0.75
62,0.785714285714286,0.916666666666667
63,0.938775510204082,0.8
64,0.836734693877551,0.933333333333333
65,0.979591836734694,0.65
66,0.877551020408163,0.833333333333333
67,0.775510204081633,0.95
68,0.816326530612245,0.883333333333333
69,0.86734693877551,0.783333333333333
70,0.918367346938776,0.716666666666667
71,0.908163265306122,0.666666666666667
72,0.887755102040816,0.833333333333333
73,0.76530612244898,0.95
74,0.795918367346939,0.933333333333333
75,0.908163265306122,0.75
76,0.846938775510204,0.883333333333333
77,0.938775510204082,0.683333333333333
78,0.969387755102041,0.666666666666667
79,0.826530612244898,0.9
80,0.816326530612245,0.833333333333333
81,0.816326530612245,0.9
82,0.76530612244898,0.866666666666667
83,0.826530612244898,0.9
84,0.795918367346939,0.9
85,0.877551020408163,0.883333333333333
86,0.816326530612245,0.783333333333333
87,0.846938775510204,0.833333333333333
88,0.836734693877551,0.816666666666667
89,0.877551020408163,0.533333333333333
90,0.846938775510204,0.85
91,0.857142857142857,0.783333333333333
92,0.76530612244898,0.95
93,0.846938775510204,0.883333333333333
94,0.86734693877551,0.833333333333333
95,0.897959183673469,0.783333333333333
96,0.73469387755102,0.95
97,0.897959183673469,0.716666666666667
98,0.76530612244898,0.916666666666667
99,0.897959183673469,0.766666666666667
100,0.908163265306122,0.766666666666667
