"i","train_auc","test_auc"
1,0.994117647058824,0.856209150326797
2,0.970588235294118,0.888888888888889
3,0.935294117647059,0.908496732026144
4,0.952941176470588,0.816993464052288
5,1,0.803921568627451
6,0.923529411764706,0.980392156862745
7,0.947058823529412,0.875816993464052
8,0.905882352941176,0.915032679738562
9,0.935294117647059,0.869281045751634
10,0.876470588235294,0.986928104575163
11,0.958823529411765,0.92156862745098
12,0.964705882352941,0.92156862745098
13,0.952941176470588,0.888888888888889
14,0.958823529411765,0.915032679738562
15,0.982352941176471,0.843137254901961
16,0.982352941176471,0.895424836601307
17,0.970588235294118,0.810457516339869
18,0.947058823529412,0.856209150326797
19,0.952941176470588,0.92156862745098
20,0.923529411764706,0.888888888888889
21,0.941176470588235,0.875816993464052
22,0.923529411764706,0.96078431372549
23,0.970588235294118,0.875816993464052
24,0.941176470588235,0.954248366013072
25,0.941176470588235,0.941176470588235
26,0.941176470588235,0.888888888888889
27,0.952941176470588,0.895424836601307
28,0.9,0.967320261437909
29,0.941176470588235,0.908496732026144
30,1,0.895424836601307
31,0.9,0.908496732026144
32,0.964705882352941,0.888888888888889
33,0.947058823529412,0.954248366013072
34,0.929411764705882,0.980392156862745
35,0.911764705882353,0.908496732026144
36,0.923529411764706,0.96078431372549
37,0.917647058823529,0.888888888888889
38,0.988235294117647,0.888888888888889
39,0.829411764705882,0.973856209150327
40,0.947058823529412,0.843137254901961
41,0.964705882352941,0.908496732026144
42,0.941176470588235,0.908496732026144
43,0.970588235294118,0.888888888888889
44,0.935294117647059,0.836601307189542
45,0.894117647058824,0.862745098039216
46,0.958823529411765,0.797385620915033
47,0.988235294117647,0.849673202614379
48,0.941176470588235,0.803921568627451
49,0.988235294117647,0.77124183006536
50,0.911764705882353,0.928104575163399
51,0.929411764705882,0.862745098039216
52,0.929411764705882,0.888888888888889
53,0.947058823529412,0.823529411764706
54,0.964705882352941,0.816993464052288
55,0.952941176470588,0.908496732026144
56,0.929411764705882,0.934640522875817
57,0.911764705882353,0.934640522875817
58,0.976470588235294,0.699346405228758
59,0.988235294117647,0.856209150326797
60,0.970588235294118,0.875816993464052
61,0.970588235294118,0.882352941176471
62,0.952941176470588,0.934640522875817
63,0.941176470588235,0.875816993464052
64,0.976470588235294,0.882352941176471
65,0.870588235294118,0.967320261437909
66,0.988235294117647,0.843137254901961
67,0.941176470588235,0.888888888888889
68,0.917647058823529,0.928104575163399
69,0.994117647058824,0.849673202614379
70,0.964705882352941,0.823529411764706
71,0.952941176470588,0.915032679738562
72,0.935294117647059,0.849673202614379
73,1,0.73202614379085
74,1,0.679738562091503
75,0.882352941176471,0.915032679738562
76,0.964705882352941,0.803921568627451
77,0.929411764705882,0.92156862745098
78,0.952941176470588,0.901960784313726
79,0.823529411764706,1
80,0.958823529411765,0.915032679738562
81,0.882352941176471,0.973856209150327
82,0.911764705882353,0.862745098039216
83,0.994117647058824,0.875816993464052
84,0.952941176470588,0.836601307189543
85,0.952941176470588,0.92156862745098
86,0.982352941176471,0.830065359477124
87,0.958823529411765,0.869281045751634
88,0.988235294117647,0.816993464052288
89,0.958823529411765,0.862745098039216
90,0.952941176470588,0.803921568627451
91,0.976470588235294,0.777777777777778
92,0.952941176470588,0.875816993464052
93,1,0.836601307189543
94,0.964705882352941,0.797385620915033
95,0.876470588235294,0.967320261437909
96,0.964705882352941,0.836601307189542
97,0.994117647058824,0.745098039215686
98,0.976470588235294,0.882352941176471
99,0.952941176470588,0.882352941176471
100,0.894117647058824,0.928104575163399
