"ID","i","coef"
"CBR1",1,-3.00957651700434
"LGALS3BP",1,2.99469341173625
"MYH9",1,2.60722967974353
"COL1A1",1,-3.92882232212989
"ECI2",1,-2.48446461083766
"CBR1",2,-2.46039559418564
"LGALS3BP",2,1.64977878526958
"MYH9",2,1.86521620777628
"COL1A1",2,-4.79816836568306
"ECI2",2,-1.00816983380601
"CBR1",3,-3.62683078679136
"LGALS3BP",3,1.3818891941712
"MYH9",3,2.92867437279728
"COL1A1",3,-2.38180386156039
"ECI2",3,-1.00562857987601
"CBR1",4,-2.92709418158295
"LGALS3BP",4,1.89542473804829
"MYH9",4,2.05867490617679
"COL1A1",4,-1.10954748834722
"ECI2",4,-1.56792031486206
"CBR1",5,-2.18322110765171
"LGALS3BP",5,2.95280545871752
"MYH9",5,2.22404065970755
"COL1A1",5,-4.85952317121011
"ECI2",5,-2.56661091362654
"CBR1",6,-2.06283238193102
"LGALS3BP",6,2.2520380190596
"MYH9",6,2.7188755029686
"COL1A1",6,-3.38175219031528
"ECI2",6,-1.14247434007648
"CBR1",7,-2.09614841737436
"LGALS3BP",7,1.43156623332713
"MYH9",7,2.22738358188535
"COL1A1",7,-1.35943255610684
"ECI2",7,-0.756748813803153
"CBR1",8,-1.12530498012748
"LGALS3BP",8,0.362973422520328
"MYH9",8,1.78923067906817
"COL1A1",8,-0.801042903487747
"ECI2",8,-0.943203429304544
"CBR1",9,-2.18963251563887
"LGALS3BP",9,1.27804346688319
"MYH9",9,1.28889776208898
"COL1A1",9,-1.66142206356252
"ECI2",9,-0.772691768285262
"CBR1",10,-1.41960508152505
"LGALS3BP",10,1.15697487964655
"MYH9",10,1.35357397852586
"COL1A1",10,-0.884147290470843
"ECI2",10,-0.678618092224451
"CBR1",11,-3.07064043425386
"LGALS3BP",11,0.780621834242936
"MYH9",11,2.35486650518934
"COL1A1",11,-3.17812278388132
"ECI2",11,-1.60527688568878
"CBR1",12,-2.54647961334874
"LGALS3BP",12,1.74110493255503
"MYH9",12,3.54078717629592
"COL1A1",12,-3.17355893799858
"ECI2",12,-1.21020143866456
"CBR1",13,-2.56310975965949
"LGALS3BP",13,2.27230462363663
"MYH9",13,2.89288736960134
"COL1A1",13,-2.08670504493346
"ECI2",13,-1.54957169135432
"CBR1",14,-2.69059132842601
"LGALS3BP",14,1.46774373122294
"MYH9",14,4.19652321564905
"COL1A1",14,-5.7312945927474
"ECI2",14,-1.45402429421182
"CBR1",15,-2.54812242358764
"LGALS3BP",15,1.01168161359976
"MYH9",15,2.44413093459567
"COL1A1",15,-5.45975525094706
"ECI2",15,-2.3820258772588
"CBR1",16,-4.01066846309256
"LGALS3BP",16,1.36606154055551
"MYH9",16,4.01095383016045
"COL1A1",16,-5.61773740580405
"ECI2",16,-1.35508040664611
"CBR1",17,-3.61688510846157
"LGALS3BP",17,1.06672133382144
"MYH9",17,5.40922270987551
"COL1A1",17,-4.38793235528885
"ECI2",17,-0.525452989951247
"CBR1",18,-2.33570442415438
"LGALS3BP",18,0.45017251243164
"MYH9",18,2.76330150915392
"COL1A1",18,-5.77339471450547
"ECI2",18,-2.10989503460967
"CBR1",19,-2.11016028704073
"LGALS3BP",19,2.45087776542737
"MYH9",19,3.01035453461451
"COL1A1",19,-3.75492635134521
"ECI2",19,-1.67691638825479
"CBR1",20,-1.41270885946283
"LGALS3BP",20,1.29255887089248
"MYH9",20,0.450180305703565
"COL1A1",20,-1.49518738026738
"ECI2",20,-0.659792191589708
"CBR1",21,-1.83302318091755
"LGALS3BP",21,1.18363268043921
"MYH9",21,1.27522952856601
"COL1A1",21,-1.03032116825331
"ECI2",21,-1.23405689885329
"CBR1",22,-1.00256170794584
"LGALS3BP",22,0.82899883825965
"MYH9",22,0.899853756234082
"COL1A1",22,-2.13588762609786
"ECI2",22,-0.708392465020583
"CBR1",23,-2.43843091100315
"LGALS3BP",23,1.73809476751325
"MYH9",23,2.99034389990608
"COL1A1",23,-3.47632033426097
"ECI2",23,-1.02668943943797
"CBR1",24,-2.20964721162053
"LGALS3BP",24,2.06729004952426
"MYH9",24,2.75883855753921
"COL1A1",24,-3.50465478545645
"ECI2",24,-0.829310616324814
"CBR1",25,-2.46116149290961
"LGALS3BP",25,1.75583907449822
"MYH9",25,2.48649028575627
"COL1A1",25,-3.50490827945156
"ECI2",25,-1.7258210269621
"CBR1",26,-1.74039976012302
"LGALS3BP",26,1.5636524672848
"MYH9",26,1.64328652110196
"COL1A1",26,-1.64104704921625
"ECI2",26,-0.83816687440786
"CBR1",27,-1.22663246344377
"LGALS3BP",27,1.76833920455535
"MYH9",27,2.19037792945083
"COL1A1",27,-1.84503847936456
"ECI2",27,-1.17804817294458
"CBR1",28,-0.916816814296264
"LGALS3BP",28,0.796980821223714
"MYH9",28,1.39325374284091
"COL1A1",28,-1.31318880523472
"ECI2",28,-0.649858249041811
"CBR1",29,-2.06947811907165
"LGALS3BP",29,2.19151369702675
"MYH9",29,3.15230123077007
"COL1A1",29,-2.00354317292045
"ECI2",29,-1.14548359351433
"CBR1",30,-2.71070466768282
"LGALS3BP",30,3.02986621812761
"MYH9",30,4.73213041442621
"COL1A1",30,-4.34155477975289
"ECI2",30,-1.15208565988905
"CBR1",31,-1.54485912952197
"LGALS3BP",31,0.881698029959923
"MYH9",31,2.21123246695624
"COL1A1",31,-3.17848377661146
"ECI2",31,-0.272367426809328
"CBR1",32,-2.41925522848172
"LGALS3BP",32,2.37179794653569
"MYH9",32,2.02386309931615
"COL1A1",32,-3.76911715501628
"ECI2",32,-2.31928018188528
