X,group,count,RATIO
HC,FEMALE,79,0.797979798
HC,MALE,20,0.202020202
PRE,FEMALE,32,0.533333333
PRE,MALE,28,0.466666667
RA,FEMALE,220,0.830188679
RA,MALE,45,0.169811321
POS,FEMALE,151,0.82967033
POS,MALE,31,0.17032967
NEG,FEMALE,54,0.805970149
NEG,MALE,13,0.194029851
